folder,checknum,Test_Sensitivity,Test_NPV
853a4211,000009,0.0,0.7720588235294118
853a4211,000003,0.0,0.7536764705882353
853a4211,000007,0.0,0.7794117647058824
853a4211,000000,0.0,0.8014705882352942
853a4211,000002,0.0,0.7757352941176471
853a4211,000008,0.0,0.7769516728624535
853a4211,000005,1.0,
853a4211,000001,1.0,
853a4211,000006,0.0,0.7573529411764706
6160b308,000006,0.0,0.7573529411764706
6160b308,000001,1.0,
6160b308,000005,0.0,0.7977941176470589
6160b308,000002,1.0,
6160b308,000008,0.0,0.7794117647058824
6160b308,000000,0.0,0.8014705882352942
6160b308,000007,1.0,
6160b308,000009,0.0,0.7720588235294118
6160b308,000003,1.0,
6160b308,000004,0.0,0.7867647058823529
886a59ea,000002,1.0,
886a59ea,000008,1.0,
886a59ea,000005,0.0,0.7977941176470589
886a59ea,000001,0.0,0.7647058823529411
886a59ea,000006,0.0,0.7573529411764706
886a59ea,000004,0.0,0.7867647058823529
886a59ea,000009,0.5,0.7862068965517242
886a59ea,000003,0.0,0.7536764705882353
886a59ea,000007,0.25,0.8051948051948052
886a59ea,000000,1.0,1.0
eea7f644,000004,0.0,0.7867647058823529
eea7f644,000009,0.0,0.7720588235294118
eea7f644,000003,1.0,
eea7f644,000007,1.0,
eea7f644,000000,0.0,0.8014705882352942
eea7f644,000002,0.0,0.7757352941176471
eea7f644,000008,1.0,
eea7f644,000005,1.0,
eea7f644,000001,0.0,0.7647058823529411
eea7f644,000006,0.0,0.7573529411764706
634a2e20,000004,0.0,0.7859778597785978
634a2e20,000009,0.0,0.7720588235294118
634a2e20,000003,1.0,
634a2e20,000007,0.0,0.7794117647058824
634a2e20,000000,0.0,0.8014705882352942
634a2e20,000002,0.0,0.7749077490774908
634a2e20,000008,1.0,1.0
634a2e20,000005,1.0,1.0
634a2e20,000001,1.0,
634a2e20,000006,0.0,0.7573529411764706
60622209,000006,0.0,0.7573529411764706
60622209,000001,0.0,0.7647058823529411
60622209,000005,0.0,0.7977941176470589
60622209,000008,0.0,0.7794117647058824
60622209,000002,1.0,
60622209,000000,0.0,0.8014705882352942
60622209,000007,1.0,
60622209,000003,0.0,0.7536764705882353
60622209,000009,1.0,
60622209,000004,1.0,
642ac919,000007,0.13333333333333333,0.796875
642ac919,000000,0.1111111111111111,0.8132295719844358
