         10991207 function calls (10957755 primitive calls) in 128.270 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5672    0.008    0.000    0.012    0.000 base.py:5304(__getitem__)
    11634    0.008    0.000    0.044    0.000 fromnumeric.py:53(_wrapfunc)
     5476    0.007    0.000    0.015    0.000 managers.py:2065(external_values)
     5652    0.007    0.000    0.049    0.000 array_ops.py:60(comp_method_OBJECT_ARRAY)
    12990    0.007    0.000    0.022    0.000 common.py:162(is_object_dtype)
    11108    0.007    0.000    0.010    0.000 re.py:289(_compile)
      330    0.007    0.000    0.017    0.000 edfreader.py:461(<listcomp>)
     2836    0.006    0.000    0.102    0.000 frame.py:3703(_ixs)
      397    0.006    0.000    0.007    0.000 numeric.py:136(ones)
      825    0.006    0.000    0.102    0.000 base.py:708(_with_infer)
     2836    0.006    0.000    0.045    0.000 frame.py:4257(_box_col_values)
    15707    0.006    0.000    0.012    0.000 ast.py:256(iter_child_nodes)
      660    0.006    0.000    0.006    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2970    0.006    0.000    6.219    0.002 cast.py:1178(maybe_infer_to_datetimelike)
      562    0.006    0.000    0.008    0.000 {pandas._libs.lib.infer_dtype}
     3826    0.006    0.000    0.006    0.000 flags.py:49(__init__)
     1650    0.005    0.000    0.006    0.000 {built-in method numpy.asanyarray}
      330    0.005    0.000    0.005    0.000 {method 'round' of 'numpy.ndarray' objects}
    12294    0.005    0.000    0.005    0.000 {built-in method numpy.seterrobj}
      165    0.005    0.000    2.651    0.016 managers.py:774(_slice_take_blocks_ax0)
      825    0.005    0.000    0.005    0.000 {method 'sort' of 'numpy.ndarray' objects}
     5817    0.005    0.000    0.005    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
     6147    0.005    0.000    0.026    0.000 _ufunc_config.py:430(__enter__)
     1320    0.005    0.000    0.016    0.000 common.py:235(asarray_tuplesafe)
     3331    0.004    0.000    0.006    0.000 managers.py:1891(__init__)
      165    0.004    0.000    8.727    0.053 construction.py:423(dict_to_mgr)
     1320    0.004    0.000    0.007    0.000 numeric.py:274(full)
      660    0.004    0.000    0.028    0.000 base.py:7396(_maybe_cast_data_without_dtype)
     1592    0.004    0.000    0.011    0.000 mark_tokens.py:109(_expand_to_matching_pairs)
    28153    0.004    0.000    0.006    0.000 ast.py:244(iter_fields)
     3630    0.004    0.000    6.225    0.002 construction.py:744(_try_cast)
      330    0.004    0.000    0.011    0.000 base.py:2381(is_unique)
      165    0.004    0.000    2.237    0.014 managers.py:2253(_form_blocks)
     9711    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x102564e10}
     5708    0.004    0.000    0.007    0.000 indexing.py:2656(check_deprecated_indexers)
    15526    0.004    0.000    0.006    0.000 asttokens.py:168(token_range)
     9942    0.004    0.000    0.020    0.000 construction.py:399(extract_array)
     5652    0.004    0.000    0.163    0.000 arraylike.py:40(__eq__)
      330    0.004    0.000    0.006    0.000 base.py:881(_engine)
     6147    0.004    0.000    0.016    0.000 _ufunc_config.py:435(__exit__)
      330    0.004    0.000    0.005    0.000 {method '_rebuild_blknos_and_blklocs' of 'pandas._libs.internals.BlockManager' objects}
     5476    0.004    0.000    0.019    0.000 series.py:666(values)
      330    0.004    0.000    0.016    0.000 edfreader.py:354(getStartdatetime)
     2836    0.003    0.000    0.003    0.000 blocks.py:827(iget)
     5652    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.003    0.003    0.018    0.018 executing.py:194(__init__)
     8348    0.003    0.000    0.005    0.000 inference.py:325(is_hashable)
      165    0.003    0.000    6.250    0.038 construction.py:588(_homogenize)
      495    0.003    0.000    0.003    0.000 take.py:326(_get_take_nd_function)
      825    0.003    0.000    0.010    0.000 warnings.py:130(filterwarnings)
      166    0.003    0.000  128.084    0.772 data_loader.py:348(edf_handler)
     3166    0.003    0.000    0.003    0.000 flags.py:85(allows_duplicate_labels)
     5476    0.003    0.000    0.005    0.000 blocks.py:2370(external_values)
      984    0.003    0.000    0.010    0.000 lexer.py:681(get_tokens_unprocessed)
    15510    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
      165    0.003    0.000    0.016    0.000 arraysetops.py:373(intersect1d)
     2682    0.003    0.000    0.022    0.000 asttokens.py:79(_generate_tokens)
     2664    0.003    0.000    0.005    0.000 genericpath.py:69(commonprefix)
     6683    0.003    0.000    0.005    0.000 line_numbers.py:50(line_to_offset)
     2903    0.003    0.000    0.005    0.000 base.py:3754(get_loc)
    14640    0.003    0.000    0.004    0.000 common.py:148(<lambda>)
     6374    0.003    0.000    0.003    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      101    0.003    0.000    0.003    0.000 {built-in method posix.scandir}
        4    0.003    0.001    0.003    0.001 core.py:583(<listcomp>)
    24588    0.003    0.000    0.003    0.000 {built-in method numpy.geterrobj}
  2688/32    0.003    0.000    0.016    0.000 regexopt.py:26(regex_opt_inner)
    14640    0.003    0.000    0.003    0.000 common.py:146(classes)
    15214    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
      165    0.003    0.000    2.721    0.016 generic.py:4512(_drop_axis)
      165    0.003    0.000    0.046    0.000 construction.py:272(ndarray_to_mgr)
    26160    0.003    0.000    0.003    0.000 {built-in method builtins.issubclass}
      165    0.003    0.000    0.042    0.000 base.py:6901(drop)
     5476    0.003    0.000    0.007    0.000 blocks.py:196(external_values)
      660    0.003    0.000    0.005    0.000 cast.py:1763(construct_1d_object_array_from_listlike)
     2145    0.003    0.000    0.106    0.000 base.py:7277(ensure_index)
    15495    0.002    0.000    0.002    0.000 util.py:63(is_non_coding_token)
     5776    0.002    0.000    0.009    0.000 util.py:96(iter_children_ast)
        1    0.002    0.002    0.041    0.041 util.py:166(visit_tree)
     5708    0.002    0.000    0.003    0.000 common.py:362(apply_if_callable)
    11029    0.002    0.000    0.002    0.000 {built-in method builtins.max}
     1366    0.002    0.000    0.023    0.000 mark_tokens.py:63(_visit_after_children)
      330    0.002    0.000    0.002    0.000 {method 'astype' of 'numpy.generic' objects}
     5672    0.002    0.000    0.003    0.000 common.py:151(cast_scalar_indexer)
      495    0.002    0.000    2.632    0.005 take.py:120(_take_nd_ndarray)
      165    0.002    0.000    0.056    0.000 data_loader.py:180(montaged_dataframe)
     1650    0.002    0.000    0.004    0.000 warnings.py:181(_add_filter)
     1650    0.002    0.000    0.003    0.000 warnings.py:458(__enter__)
      165    0.002    0.000    2.635    0.016 blocks.py:861(take_nd)
     5652    0.002    0.000    0.011    0.000 fromnumeric.py:1881(nonzero)
    11195    0.002    0.000    0.002    0.000 {pandas._libs.lib.item_from_zerodim}
      252    0.002    0.000    0.004    0.000 line_numbers.py:44(<listcomp>)
      165    0.002    0.000    0.008    0.000 blocks.py:941(setitem)
      655    0.002    0.000    0.005    0.000 glob.py:117(_iterdir)
     5665    0.002    0.000    0.008    0.000 re.py:188(match)
  3048/96    0.002    0.000    0.015    0.000 regexopt.py:77(<genexpr>)
      330    0.002    0.000    0.023    0.000 edfreader.py:132(getHeader)
     2836    0.002    0.000    0.009    0.000 series.py:1267(_set_as_cached)
    10843    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     6404    0.002    0.000    0.002    0.000 {pandas._libs.lib.is_list_like}
    14382    0.002    0.000    0.002    0.000 base.py:5090(_values)
     5397    0.002    0.000    0.003    0.000 types.py:171(__get__)
     6049    0.002    0.000    0.003    0.000 base.py:839(is_)
      165    0.002    0.000    0.002    0.000 data_loader.py:146(<listcomp>)
     5982    0.002    0.000    0.002    0.000 {method 'transpose' of 'numpy.ndarray' objects}
     3826    0.002    0.000    0.002    0.000 managers.py:2433(_using_copy_on_write)
     3630    0.002    0.000    0.004    0.000 construction.py:676(_sanitize_ndim)
      165    0.002    0.000    2.655    0.016 managers.py:689(reindex_indexer)
      165    0.002    0.000    0.002    0.000 function_base.py:5172(delete)
      330    0.002    0.000    0.042    0.000 base.py:3888(get_indexer)
    12216    0.002    0.000    0.002    0.000 {method 'encode' of 'str' objects}
     6147    0.002    0.000    0.002    0.000 _ufunc_config.py:426(__init__)
      165    0.002    0.000    0.004    0.000 _asarray.py:27(require)
      330    0.002    0.000    0.004    0.000 managers.py:1721(as_array)
     5817    0.002    0.000    0.002    0.000 std.py:1157(__iter__)
     2903    0.002    0.000    0.002    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
  562/397    0.002    0.000    2.738    0.007 _decorators.py:323(wrapper)
     5652    0.002    0.000    0.027    0.000 fromnumeric.py:588(transpose)
    14025    0.002    0.000    0.002    0.000 {built-in method builtins.hash}
     1652    0.002    0.000    0.002    0.000 {method 'remove' of 'list' objects}
   2091/1    0.002    0.000    0.005    0.005 ast.py:409(generic_visit)
       10    0.002    0.000    0.002    0.000 core.py:628(<genexpr>)
      330    0.002    0.000    0.021    0.000 series.py:4773(_reduce)
     1650    0.002    0.000    0.002    0.000 warnings.py:437(__init__)
       23    0.002    0.000    0.002    0.000 terminal256.py:188(_closest_color)
      892    0.002    0.000    0.003    0.000 base.py:690(_simple_new)
      330    0.002    0.000    0.002    0.000 {pandas._libs.algos.take_1d_int64_int64}
      825    0.001    0.000    0.005    0.000 config.py:116(_get_single_key)
      660    0.001    0.000    0.001    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     1650    0.001    0.000    0.004    0.000 common.py:1246(is_float_dtype)
     1980    0.001    0.000    0.005    0.000 base.py:7372(maybe_extract_name)
      796    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      825    0.001    0.000    0.002    0.000 config.py:597(_get_root)
      165    0.001    0.000    2.723    0.017 generic.py:4475(drop)
      562    0.001    0.000    0.002    0.000 _dtype.py:346(_name_get)
2565/1553    0.001    0.000    0.015    0.000 {method 'join' of 'str' objects}
      165    0.001    0.000    2.239    0.014 managers.py:2182(create_block_manager_from_column_arrays)
     1650    0.001    0.000    0.001    0.000 config.py:611(_get_deprecated_option)
       11    0.001    0.000    0.002    0.000 utils.py:45(highlight_unique)
      165    0.001    0.000    0.001    0.000 {built-in method pandas._libs.missing.isnaobj}
      660    0.001    0.000    0.020    0.000 arraysetops.py:138(unique)
     1668    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      165    0.001    0.000   34.457    0.209 data_loader.py:90(__init__)
     5434    0.001    0.000    0.008    0.000 re.py:250(compile)
     1485    0.001    0.000    0.003    0.000 common.py:1278(is_bool_dtype)
      660    0.001    0.000    0.005    0.000 base.py:588(_dtype_to_subclass)
     2970    0.001    0.000    0.002    0.000 managers.py:2237(_grouping_func)
      165    0.001    0.000    0.008    0.000 std.py:837(__init__)
    10176    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     3862    0.001    0.000    0.002    0.000 range.py:946(__len__)
     5652    0.001    0.000    0.003    0.000 highlevel.py:32(_get_sample_frequency)
      165    0.001    0.000    0.001    0.000 {built-in method pandas._libs.lib.is_datetime_array}
      330    0.001    0.000    0.003    0.000 blocks.py:2172(new_block)
     5652    0.001    0.000    0.001    0.000 fromnumeric.py:3176(ndim)
      165    0.001    0.000    0.004    0.000 highlevel.py:395(<listcomp>)
      165    0.001    0.000    0.011    0.000 generic.py:11108(_logical_func)
      165    0.001    0.000    0.014    0.000 highlevel.py:41(tqdm)
    13248    0.001    0.000    0.001    0.000 regexopt.py:78(<lambda>)
     1580    0.001    0.000    0.001    0.000 {method 'translate' of 'str' objects}
      495    0.001    0.000    0.003    0.000 base.py:54(shape)
     1100    0.001    0.000    0.001    0.000 regexopt.py:66(<listcomp>)
      330    0.001    0.000    0.005    0.000 nanops.py:261(_get_values)
