         4152454 function calls (4091041 primitive calls) in 5.373 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15232    0.005    0.000    0.029    0.000 ast.py:369(walk)
     9013    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
       29    0.005    0.000    0.005    0.000 {method 'readlines' of '_io._IOBase' objects}
   1708/7    0.005    0.000    1.714    0.245 <frozen importlib._bootstrap>:1002(_find_and_load)
    34660    0.005    0.000    0.007    0.000 posixpath.py:41(_get_sep)
    10095    0.005    0.000    0.062    0.000 mark_tokens.py:51(_visit_before_children)
      889    0.005    0.000    0.013    0.000 inspect.py:2152(_signature_from_function)
    10273    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        5    0.005    0.001    0.005    0.001 data_viability.py:56(viable_dataset)
     4679    0.005    0.000    0.010    0.000 dis.py:311(_get_instructions_bytes)
    20208    0.004    0.000    0.025    0.000 tokenize.py:98(_compile)
     2267    0.004    0.000    0.008    0.000 functools.py:35(update_wrapper)
     3993    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:87(acquire)
     9713    0.004    0.000    0.056    0.000 asttokens.py:128(get_token_from_utf8)
     1590    0.004    0.000    0.021    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
     9718    0.004    0.000    0.018    0.000 asttokens.py:118(get_token)
9569/9522    0.004    0.000    0.011    0.000 {built-in method builtins.any}
    15221    0.004    0.000    0.023    0.000 {method 'extend' of 'collections.deque' objects}
   1694/7    0.004    0.000    1.714    0.245 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    20971    0.004    0.000    0.040    0.000 re.py:250(compile)
   1590/9    0.004    0.000    1.710    0.190 <frozen importlib._bootstrap>:659(_load_unlocked)
     1622    0.004    0.000    0.151    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
        1    0.004    0.004    0.021    0.021 {built-in method torch._C._initExtension}
    27266    0.004    0.000    0.004    0.000 {method 'partition' of 'str' objects}
     3993    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:112(release)
       42    0.004    0.000    0.004    0.000 {method 'readline' of '_io.BufferedReader' objects}
       33    0.004    0.000    0.189    0.006 inspect.py:727(getmodule)
     1569    0.003    0.000    0.005    0.000 inspect.py:2781(__init__)
    41830    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
1614/1208    0.003    0.000    0.021    0.000 inspect.py:2246(_signature_from_callable)
     3330    0.003    0.000    0.006    0.000 genericpath.py:69(commonprefix)
  3360/40    0.003    0.000    0.018    0.000 regexopt.py:26(regex_opt_inner)
     2323    0.003    0.000    0.026    0.000 inspect.py:693(getsourcefile)
      294    0.003    0.000    0.003    0.000 {built-in method torch._C._dispatch_dump}
      184    0.003    0.000    0.003    0.000 {method 'copy' of 'dict' objects}
      293    0.003    0.000    0.027    0.000 __init__.py:91(add_op_to_table)
     6105    0.003    0.000    0.006    0.000 typing.py:713(__setattr__)
     3902    0.003    0.000    0.006    0.000 inspect.py:2498(__init__)
     6813    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
    10875    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
        5    0.003    0.001    0.038    0.008 terminal256.py:252(format_unencoded)
     9718    0.003    0.000    0.003    0.000 {built-in method _bisect.bisect_right}
 3810/120    0.003    0.000    0.017    0.000 regexopt.py:77(<genexpr>)
     6783    0.003    0.000    0.006    0.000 posixpath.py:60(isabs)
   304/84    0.003    0.000    0.008    0.000 sre_parse.py:494(_parse)
     1424    0.003    0.000    0.334    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
     5629    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
       98    0.003    0.000    0.003    0.000 {built-in method builtins.eval}
    16961    0.003    0.000    0.003    0.000 {built-in method builtins.setattr}
    52780    0.003    0.000    0.003    0.000 {built-in method posix.fspath}
     1893    0.003    0.000    0.005    0.000 mark_tokens.py:101(_find_last_in_stmt)
    10440    0.003    0.000    0.005    0.000 edfreader.py:420(getSampleFrequency)
      980    0.003    0.000    0.003    0.000 _ops.py:284(inner)
     5220    0.003    0.000    0.007    0.000 edfreader.py:464(getLabel)
    21244    0.003    0.000    0.003    0.000 util.py:138(is_joined_str)
     5220    0.003    0.000    0.007    0.000 edfreader.py:632(getTransducer)
     5220    0.003    0.000    0.007    0.000 edfreader.py:488(getPrefilter)
     9718    0.003    0.000    0.006    0.000 asttokens.py:111(get_token_from_offset)
     5220    0.003    0.000    0.007    0.000 edfreader.py:655(getPhysicalDimension)
      663    0.003    0.000    0.031    0.000 textwrap.py:414(dedent)
     4518    0.003    0.000    0.029    0.000 posixpath.py:373(abspath)
     1979    0.003    0.000    0.006    0.000 typing.py:137(_type_check)
    18692    0.003    0.000    0.003    0.000 util.py:45(match_token)
    10095    0.003    0.000    0.003    0.000 util.py:260(get)
      924    0.002    0.000    0.012    0.000 typing.py:739(__init__)
      885    0.002    0.000    0.002    0.000 {built-in method torch._C._dispatch_has_kernel}
       98    0.002    0.000    0.006    0.000 __init__.py:345(namedtuple)
    31901    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     2847    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        5    0.002    0.000    0.002    0.000 line_numbers.py:30(<listcomp>)
    27859    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
     1589    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        1    0.002    0.002    0.002    0.002 {built-in method _ctypes.dlopen}
 2008/850    0.002    0.000    1.026    0.001 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     1171    0.002    0.000    0.002    0.000 {built-in method torch._C._get_schema}
     9358    0.002    0.000    0.002    0.000 dis.py:419(_unpack_opargs)
     8025    0.002    0.000    0.003    0.000 asttokens.py:134(next_token)
    11061    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
    26967    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
     1423    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      655    0.002    0.000    0.008    0.000 glob.py:117(_iterdir)
   1423/7    0.002    0.000    1.710    0.244 <frozen importlib._bootstrap_external>:844(exec_module)
    10440    0.002    0.000    0.002    0.000 {method 'samplefrequency' of 'pyedflib._extensions._pyedflib.CyEdfReader' objects}
     1422    0.002    0.000    0.111    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
     2271    0.002    0.000    0.003    0.000 asttokens.py:156(find_token)
    20847    0.002    0.000    0.002    0.000 enum.py:792(value)
    20982    0.002    0.000    0.002    0.000 {method 'rstrip' of 'bytes' objects}
     2258    0.002    0.000    0.043    0.000 inspect.py:715(getabsfile)
1590/1588    0.002    0.000    0.432    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      385    0.002    0.000    0.014    0.000 _util.py:308(getfullargspec_no_self)
     5943    0.002    0.000    0.114    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
3372/3152    0.002    0.000    0.026    0.000 typing.py:271(inner)
      164    0.002    0.000    0.052    0.000 edfreader.py:166(getSignalHeaders)
     4268    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
    10414    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
     4679    0.002    0.000    0.012    0.000 executing.py:139(get_instructions)
     3412    0.002    0.000    0.033    0.000 utils.py:156(get_tokens)
       88    0.002    0.000    0.033    0.000 dataclasses.py:809(_process_class)
     6105    0.002    0.000    0.003    0.000 typing.py:665(_is_dunder)
      643    0.002    0.000    0.002    0.000 {built-in method torch._C._dispatch_has_computed_kernel_for_dispatch_key}
    20948    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
    10095    0.002    0.000    0.002    0.000 util.py:130(is_stmt)
     1171    0.002    0.000    0.016    0.000 _ops.py:391(__getattr__)
        5    0.002    0.000    0.466    0.093 asttokens.py:45(__init__)
     2285    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
      649    0.002    0.000    0.013    0.000 _ops.py:489(__getattr__)
       23    0.002    0.000    0.002    0.000 terminal256.py:188(_closest_color)
     2257    0.002    0.000    0.133    0.000 posixpath.py:388(realpath)
     5220    0.002    0.000    0.002    0.000 edfreader.py:512(getPhysicalMaximum)
   485/79    0.001    0.000    0.006    0.000 sre_compile.py:87(_compile)
        1    0.001    0.001    0.008    0.008 preprocessing.py:109(__init__)
     5220    0.001    0.000    0.002    0.000 edfreader.py:542(getPhysicalMinimum)
     5220    0.001    0.000    0.002    0.000 edfreader.py:572(getDigitalMaximum)
    16560    0.001    0.000    0.001    0.000 regexopt.py:78(<lambda>)
       45    0.001    0.000    0.002    0.000 {built-in method io.open}
     2477    0.001    0.000    0.098    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.001    0.001    0.001    0.001 {built-in method torch._C._c10d_init}
     5220    0.001    0.000    0.002    0.000 edfreader.py:602(getDigitalMinimum)
    12183    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
    20066    0.001    0.000    0.001    0.000 {method 'span' of 're.Match' objects}
     1375    0.001    0.000    0.001    0.000 regexopt.py:66(<listcomp>)
      978    0.001    0.000    0.003    0.000 typing_extensions.py:140(_collect_type_vars)
     4069    0.001    0.000    0.002    0.000 enum.py:358(__call__)
    12183    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1589    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
      107    0.001    0.000    0.058    0.001 _distn_infrastructure.py:1900(__init__)
        4    0.001    0.000    0.002    0.001 _codata.py:1503(parse_constants_2002to2014)
    27266    0.001    0.000    0.001    0.000 {built-in method _stat.S_ISLNK}
     1902    0.001    0.000    0.002    0.000 tags.py:53(__init__)
     8866    0.001    0.000    0.002    0.000 inspect.py:703(<genexpr>)
